name,inst
Jim King,saxophone
Rares Mihailescu,cello
Nadav Levy,piano
Tomoko Sakamoto,piano
Brant Lyon,piano
Gerald Hamilton,bass|baritone|bass-baritone
Cecily Horner,soprano
Rainer Honeck,violin
Robert Listokin,clarinet
Guila Bustabo,violin
Phillip Johnston,alto saxophone|soprano saxophone|baritone saxophone
David Perper,tenor
Jan Schulte-Bunert,soprano saxophone
Josephine Papalia,mezzo-soprano
Eryn Lecroy,unspecified voice
Manuel Mestre,unspecified
Adam Roszkiewicz,guitar
Nicholas Lakides,clarinet
Lottie Muller,piano
Ilga Paupe,alto
Zin Bang,piano
Adrian Kramer,baritone
Pietro Girardi,guitar
Kenny Siegal,guitar
Jacob Garchik,trombone|tuba|sousaphone
Leon Marks,violin
Jeffrey Yu,piano
Isabelle Zee,piano
[first name unknown] Linger,clarinet
Marina Kruglikov,violin
Sylvia Dickler,piano
Daniel Martin,double bass
Nanae Mimura,marimba
Molly Fillmore,mezzo-soprano
Emmanuel Borowsky,violin
Gerado Miro,violin
Nate Smith,drums
Mischa Russell,violin
Eric Lin,piano
Katherine Benfer,mezzo-soprano
Eric Liu,piano
Hedy Fassler,soprano
Fides Cuyagan-Asensio,soprano
Harvie Swartz,double bass|bass guitar
Helena Juntunen,soprano
Philip Dunigan,flute|piccolo
Michael Sheppard,piano
Elvira Helal,soprano
Frederick D. Mayer,tenor
Magnus Lindgren,tenor saxophone
University of Colorado at Boulder Women's Ensemble,womens chorus
Jennifer Ayres,soprano
Sophie Barber,violin
Roger Eckstein,unspecified
E. Buddy Jones,baritone
Allison Cheng,piano
Henri Marteau,violin
Barry Ellison,baritone
Anna Mi Lee,piano
Katherine Wei,piano
Gregory Ashman,piano
Janet Grice,bassoon
Elizabeth Silard,recorder
Kohachiro Miyata,shakuhachi
Ronald Stoerker,vocalist
James Serventi,piano
Stanley Ellison Plummer,violin
Angela Cincotta,piano
Peter Brunt,violin
Donald Braden,tenor saxophone
Lisa Harris,piano
Robert Koenig,piano
Daniel Eller,piano
Li-Na Chen,violin
Eric Slavin,guitar
Scott Shelsta,trombone
Jesus Pimillos,piano
Gloria Saarinen,piano
Helen Bruce,vocalist
Brett Shuster,trombone
John Seagle,baritone
John Greco,piano
G. A. Wesley,piano
Cenk Ergun,electronics
Yoske Ozawa,cello
Shiori Abe,violin
W. Dwight Coleman,baritone
Slava Znatchenii,oboe
Marie-Danielle Parent,soprano
Laurann Littleton Gilley,piano
Reggie Barnes,drums
Peter Riegelbauer,double bass
Toots Mondello,alto saxophone
Lawrence Weller,baritone
Josef Burgstaller,trumpet
Jessica Li Zhou,harp
Barbara Rowan,piano
Rebecca Dharmapalan,vocalist
Anton Hekking,cello
Melissa Wegner,soprano
Jorja Fleezanis,violin
Jean-Luc Ponty,violin
Nicholas Tzavaras,cello
Marshal Royal,alto saxophone
Carla Filipcic Holm,soprano
Karen Oberlin,vocalist
Christina Kiss,piano
Ming Fang Lo,soprano
Krzysztof Witek,violin
E. Percy Parsons,bass
Carolyn Gray,piano
Pamela Olsen,soprano
Raymond Turner,piano
Griffyn Kang,violin
Sun Hee Lee,piano|vocalist
Mike Ponella,trumpet
Susan Belink,soprano
Nelli Semitekolo,piano
Christopher Muchabaiwa,bass guitar
Herbert Smith,trumpet
Louise McClelland,unspecified voice
Rhoda Adler,piano
Chad Kawakami,guitar
Jacqueline Echols,soprano
Cindy Horton,French horn
Brandon Ridenour,trumpet|double-bell trumpet
Jian Li,piano
Joseph Gerbel,zither
Charles Turner III,vocalist
Jean Philippe Viret,double bass
Byron Janis,piano
Itai Faierman,guitar
Patricio Jineno,unspecified voice
Ruth Kuehn,unspecified voice
Peng Zhou,flute|piccolo
Lea Salonga,vocalist
Victor Vasquez,trombone
Pee Wee Erwin,trumpet
Paul Robeson,baritone
Juan-Miguel Hernandez,viola
Susan Radcliffe,trumpet|piccolo trumpet
You Feng Chen,cello
Soyoung Chun,piano
Jane Irwin,mezzo-soprano
Pinchas Zukerman,violin|viola
Kyung Hyun Kim,piano
Sondra Katz,soprano
Mei Xuan,erhu
Maud MacCarthy,violin
Chuck Campbell,pedal steel guitar
Lillette Jenkins-Wisner,piano
Daniel Domb,cello
Cecille de Laurentis,cello
Richard Stone,theorbo
Mi Hyun Yu,soprano
Heather Feldman,soprano
Wilbur De Paris,trombone
Andrew Jensen,tenor
Steve Morvant,vocalist
Christian Li,piano
Regina Yakubtziner,piano
Chris Smither,guitar|vocalist
Daniel Lyngstad,violin
Gerald Morton,piano
Brennan Sweet,violin
Ellise Kim,piano
Katherine Won,piano
Tom Hamilton,synthesizer
Mauro De Federicis,guitar
Anna Dickerman,violin
William Carter,unspecified voice|lute|theorbo
Marylynn Gillespie,vocalist
Teresa Caturano,vocalist
Mark Humberg,cello
Naomi Itami,soprano
Aaron Picht,viola
Frank Widdis,organ
Marcel Hansotte,piano
Ernst H. Bauer,piano|violin|viola|cello
Lillian Sengpiehl,soprano
David Lewis,baritone saxophone|piano|keyboard
Lata Mangeshkar,vocalist
Rodrigo,guitar
James Kondysar,tenor
Harry Bicket,organ|harpsichord
Randall Rudolph,percussion
Benedikt Reidenbach,guitar
Tobias Christl,vocalist
Luis Perdomo,piano
Julie Lustman,piano|organ|harpsichord|celesta
Janice Harsanyi,soprano
Daniel Wolf,piano
Richard Taruskin,viola|viola da gamba
Helen Karloski,mezzo-soprano
Lisa Eunhee Kim,violin
Keith Scott,guitar
Sarah Baron Anderson,contralto
Arnon Erez,piano
Dennis Parlato,vocalist
Annie Wu,flute
Richard Provost,guitar
Charlotte Walker,soprano
Dana Beth Miller,soprano
Tom Wopat,vocalist
Arco Gerpoul,mezzo-soprano
Amy Cervini,vocalist
Rand Hix,baritone
Sylvia Powsner,soprano
Arthur Van Haelst,tenor
Jill Sokol,flute
Michael Stephenson,soprano saxophone
Bob Bowman,double bass
Rita Reinhardt,soprano
Aaron Hill,oboe
Liana Isakadze,violin
Sergio Galvao,flute|saxophone
Leona Di Domenica,piano
Yoko Ellie Fukumura,piano
Wadym Kipa,piano
James Austin Smith,oboe|English horn
Jessica Choe,piano
Sharon McNight,vocalist
Gretel Shanley Andrus,flute
Thomas Selditz,viola
Andre De Shields,vocalist
Lawrence Del Casale,guitar
William Christie,organ|harpsichord
Halina Czerny-Stefanska,piano
Tosha Meisho,yokobue
Soojin Bae,piano
Lynn Flickinger,vocalist
Da'dra Crawford,vocalist
Kevin Bell,bass
Merrill Garbus,vocalist
Sarah Nisbett,mezzo-soprano
Vernon Dobtcheff,unspecified voice
Dean Kramer,piano
Raymond Helsing,organ
Larry Giordano,trumpet
Peter Yang,cello
Ray Moore,clarinet|saxophone
William Denham Tucker,bass|baritone
Lillian Xia,cello
William P. Dickson,baritone
Essiet Okon Essiet,double bass
James Decker,trombone
Rupert Holmes,vocalist
Samuel Eves,piano
Ede Zathureczky,violin
Yoo Yung Lee,piano
Elsie Gardner,piano|violin
Jee Young Shin,piano
Steven Bernstein,trumpet
Nina Musinian,piano
Joy Baber,piano
Jeon Hyun Harry Woo,piano
Marietta Dean,mezzo-soprano
Matthew Auerbach,piano
Constance Keene,piano
Jeremy Bell,violin
Ned Barth,baritone
Timothy Soo,piano
Tom Crosby,drums
Alvin Moisey,piano
BoRa Jeong,violin
Anna D'Errico,piano
Milan Skampa,viola
Aniko Peter Szabo,piano
Jack Fitzer,piano
Trent Rash,tenor
Howard Klug,clarinet|bass clarinet
Ruble Blakely,vocalist
Jose Alejandro Gil Pinedo,double bass
Pamela Wolfe,soprano
Anja Silja,soprano
Susan Wass,piano
Ming Yu,cello
Giuseppe Sinacori,guitar
Mitsuko Morikawa,piano
Judith Balo,soprano
Claudia Dawon Oh,soprano
Rebecca Stanton,soprano
Waldren Joseph,trombone
Audrey Cotter,soprano
Sara Jakubiak,soprano
Ramiro de la Zerda,quena
HyunJin Jo,soprano
R. C. Hoguet,vocalist
Jess Meeker,piano
Tian Jiang,piano
Evan Bowers,tenor
Timothée Adamowski,violin
Nadezhda Serdyuk,mezzo-soprano
Vera Verbarg,violin
Seon Young Lee,violin
William Fedkenheuer,violin
Teresa Acevedo Lucio,piano
Anthony Di Bonaventura,piano
Kim Borg,baritone|bass-baritone
Julie Simson,mezzo-soprano
Sarah Zun,violin
Buck White,piano|vocalist|mandolin
Betty Wilson,soprano
Brian Keenan,drums
Jee Won Yang,piano
Jean Dupouy,viola|tenor
Ethel Waters,vocalist
Wilton Clary,baritone
Eleonor Edson,soprano
Dorothy Loudon,vocalist
Kenneth Young,bass
M. Martin Oscar,baritone
Anthony J. Costa,clarinet|bass clarinet
Yvonne McMahon,vocalist
Jordan Shanahan,baritone
Salvatore Accardo,violin
Keb' Mo',guitar|vocalist
Vasily Popov,cello
Alexandra Smither,soprano
Andrew Cunningham,handbell
Ruth Siegler,viola
Jasmine Manley,soprano
Paul West,double bass
Friedl Teller,vocalist
Margaret Kinnear,piano
Zoltan Marczi,piano
Brian Cummings,countertenor
Anna Garzuly,flute
Jeffrey Nguyen,piano
Meta Schumann,piano|soprano
Thomas Young,tenor
Kenny Sears,fiddle|vocalist
Jon Seiger,vocalist|trumpet
Quiana Parler,vocalist
Alan Titus,baritone
Jerry Goodman,violin
Waymon Reed,trumpet
Richard Foley,oboe|English horn|oboe d'amore
David Aks,cello
Ethan Iverson,piano
Lila Gage,soprano
Nandor Szederkenyi,violin
Mark Schipper,percussion
Oskar Espina-Ruiz,clarinet
Jesus Pagan,vocalist
Bong Kook Lee,tenor
F. Isler,cello
[first name unknown] Hascy,unspecified voice
Vineta Sareika,violin
Maria Carreras,piano
Andreas Hinterseher,accordion
Paul Parks,baritone
Michaela Starzyk,double bass
Mathilde Locus,piano
Stanislav Orlovsky,cello
Boris Roubakine,piano
[first name unknown] Haynes,piccolo
Simon Bowman,vocalist
Virginia Barney,soprano
Jamie Im,piano
Marco Fracasso,harpsichord
Lubka Kolessa,piano
Marshall Farr,trumpet
Kenny Vance,vocalist
Maria Sanchez-Cortes,guitar
Jackie Hua,piano
Adolfo Oddone,guitar
Jianping Zhu,percussion
Arthur Pryor,trombone
Nancy Fox-Hoover,soprano
Marty Napoleon,piano
Henri Temianka,violin
Leslie Rogers-Frittelli,cello
George Baklanoff,baritone
Susan Wang,piano
Chris Gattelli,vocalist
Robert Riker,tenor
Constance Belmour,unspecified voice
Elizabeth Payer,soprano
Stefan Pushkin,baritone
Neil Mackie,tenor
Mary Lynch,oboe
Steven Mann,piano
Carl Patrick Bolleia,piano
Laura Petrocchi,piano
W. S. Durham,tenor
Sean Jones,vocalist|trumpet
Anne Bennett,soprano
Edgar Winter,keyboard
James Preiss,vibraphone|drums|percussion|marimba|metallophone
Rachel Cho,piano
Mary Ann Brown,piano|harpsichord
Alberto Martini,violin
Eduardo Fabian,unspecified voice
Ning Tien,cello
Sheila Keats,piano
Marko Hilpo,piano
Yu-Yun Wu,zither
Julia Murney,vocalist
David Coleman,trumpet
Arianna Leoni-Sceti,piano
Alice J. MacPherson,contralto
Laura Washburn,piano
David George,violin
Diana Mittler Battipaglia,piano
Costanza Pillori,soprano
Mayuko Tanaka,piano
Denson Paul Pollard,trombone|bass trombone
Michelle Wright,clarinet
Ryan Goetz,piano
Anthony Warlow,vocalist
Jae Suh,cello
Pavel Nikl,viola
Amy Maude Helfer,mezzo-soprano
Stephen Swanson,baritone
Eleanore Mayo,soprano
Michal Korman,cello
Neil S. Reyes,piano
Florence Petrucelli,piano
Kris Palmer,flute
Cecilia Garcia,unspecified
Winston Ma,erhu
Bob Swisshelm,French horn
SeRyung Choi,soprano
Ruth Kisch-Arndt,contralto|piano
Alexandre Gattet,oboe
Howard Rollock,violin
Leonard Slatkin,piano
Harry Curby,violin
Vernon Post,trombone
Marc Damoulakis,percussion
G.P. Centanini,piano
Luiz Meira,guitar
Tarek Ghaddar,piano
Igor Gorin,baritone
Antti Koskinen,tenor
Steven Masi,piano
Leopold Lichtenberg,violin
Ted Hoyle,cello
Nyana Price,steel drums
Alex Brightman,vocalist
