name,role
Hal David,presenter
Ifor Jones,conductor
Edward J. Gavegan,speaker
Madeline Bridges,director
Frederick Rietzel,conductor
Lance Jay Brown,panelist
Joseph Condon,speaker
William J. Romaine,actor
William Henry Curry,conductor
Julie Lisa Dixon,actor
Stavros Xarhakos,conductor
Diana White,dancer
Modeste Alloo,conductor|speaker
Abby P. Morrison,actor
Joseph Adelman,actor
Natalie Morris Munde,actor
Helen Mills,actor
Llew Mathews,conductor
Robert Erskine Ely,host|reciter
Jenny Dunbar,actor
John Castellini,conductor
James Hurt,actor
Debbie Torres,dancer
Anna Walsh,actor
Frederick L. Hackenburg,speaker
Dr. Langdon C. Stewardson,speaker
Edward J. Lucius,conductor
Kurt Wysick,conductor
Hugh Sinclair,actor
Ferdinand Ezra M. Bullowa,speaker
Tommy Gallo,comedian
Jonathan Medero,dancer
Edward A. Arnold,speaker
Karl Krueger,conductor
Lori Montana,sign language interpreter
Philip Charles,disc jockey
Gene Kelly,speaker
Sandeep Kishore,speaker
Jose Emilio Salazar,speaker
H. Shapiro,dancer
Josef Blatt,conductor
F. Landry Berthoud,speaker
Dr. Schmarya Levin,speaker
Eva Palmer,reciter
Cheryl Anderson,conductor
François-Julien Brun,conductor
Trevor Pinnock,conductor
Henry R. Rathbone,speaker
Klaus Trumpf,director
J.H. Burke,conductor
Angus Cameron,host
Serreno S. Pratt,speaker
Samuel Untermyer,speaker|host
Jovanotti,rapper
Glen Hinson,host
Ken Andresen,conductor
Alfred Stover,presenter
James P. Dunn,conductor
Betty Allen,speaker|host|narrator
Andre Baruch,speaker
William C. White,conductor
Tomokimi Tsuruzawa,chanter
Grayson Fore,conductor
Thomas Hampson,speaker|narrator
Christian Thielemann,conductor
Dr. John Rhys,speaker
Reverend G. F. Krotel,speaker
John Edward Hasson,speaker
Wyatt L. Logan,conductor
John Cheshire,conductor
Yvonne Hall,presenter
Humphrey T. Nichols,actor
J. Barton Luedeke,speaker
Helen Ware,actor
Ruth Hale,speaker
Francis H. Carter,actor
Giselle Wyers,conductor
Lillian Colon,dancer
Frank Wess,conductor
Joseph Ness,conductor
Olga Dobrowolsky,narrator
Herbert Stanton,actor
Kyung Hum Shim,conductor
Todd W. Burkholder,conductor
Felix Wolfes,conductor
Jeffrey Lyons,speaker
Mariya Kemper,dancer
Savion Glover,tap dancer
Dr. Hans Zinsser,speaker
Edwin Star Belknap,actor|reciter
Emme Kemp,speaker
Nathan L. Miller,speaker
William Bell,narrator
Eric Booth,speaker
Suzushi Hanayagi,dancer
Lavinia Hamilton,dancer
Stefano Acunto,speaker
Herbert Pollard,actor
Mos Def,rapper
William N. Ciffairy,sign language interpreter
Phoebe A. Hanaford,speaker
James E. Jackson,speaker
Thomas C. Bell,actor
Muhammad Ali,speaker
Louis Frohman,conductor
Edna McCormack,actor
George E. Cain,conductor
Scott McAdow,conductor
Z.H. Rubinstein,speaker
August Walter,actor
Carl Ross Hemmann,actor
Shirley Dinsdale,ventriloquist
Matthew Coorey,conductor
Sara Nordstrom,actor
O.A. Grondahl,conductor
Reverend Harvey Wood,speaker
Steven L. Rosenhaus,conductor
John M. Popke,director
William E. Dodge,speaker
Melissa Tutuauer,speaker
Charles J. Bonaparte,speaker
Kristin Linklater,reader
Ron Miller,conductor
Alexander Treger,conductor
Jonathan Caldwell,conductor
Julia Tanaka,speaker
Maurice Frank,speaker
H. J. Maxwell,actor
Joel Smirnoff,presenter
Robert Westenberg,actor
[first name unknown] Judge,dancer
Jacob Davidson,conductor
Pasquale Rubino,conductor
Ernest Ortone,conductor
Izzy Hanson-Johnston,dancer
Judith K. Smith,conductor
Mortimer Wilson,conductor
Larry Nickel,conductor
Dean C. Worcester,speaker
Alice Allen,actor
Joseph H. Ball,speaker
William Daly,actor
David Labovitz,conductor
